timestamp,rmssd,nrem_hr,entropy
2022-06-08 00:00:00+02:00,29.04,61.21,2.59
2022-06-09 00:00:00+02:00,29.04,60.43,2.42
2022-06-10 00:00:00+02:00,38.93,59.54,2.94
2022-06-11 00:00:00+02:00,24.27,62.08,2.61
2022-06-12 00:00:00+02:00,22.71,62.89,2.43
2022-06-14 00:00:00+02:00,33.84,58.64,2.8
2022-06-15 00:00:00+02:00,22.09,61.9,2.6
2022-06-16 00:00:00+02:00,27.24,59.75,2.43
2022-06-17 00:00:00+02:00,33.74,57.7,2.39
