timestamp,oxygen_saturation_by_minute
2022-06-06 18:21:00+02:00,50.0
2022-06-06 18:22:00+02:00,50.0
2022-06-06 18:23:00+02:00,50.0
2022-06-06 18:24:00+02:00,50.0
2022-06-06 18:25:00+02:00,50.0
2022-06-06 18:26:01+02:00,50.0
2022-06-06 18:27:01+02:00,50.0
2022-06-06 18:28:01+02:00,50.0
2022-06-06 18:29:01+02:00,50.0
2022-06-06 18:30:01+02:00,50.0
2022-06-06 18:31:01+02:00,50.0
2022-06-06 18:32:01+02:00,50.0
2022-06-06 18:33:01+02:00,50.0
2022-06-06 18:34:01+02:00,50.0
2022-06-06 18:35:02+02:00,50.0
2022-06-06 18:36:02+02:00,50.0
2022-06-06 18:37:02+02:00,79.1
2022-06-06 18:38:02+02:00,50.0
2022-06-06 18:39:02+02:00,50.0
2022-06-06 18:40:02+02:00,50.0
2022-06-06 18:41:02+02:00,50.0
2022-06-06 18:42:02+02:00,50.0
2022-06-06 18:43:03+02:00,50.0
2022-06-06 18:44:03+02:00,50.0
2022-06-06 18:45:03+02:00,50.0
2022-06-06 18:46:03+02:00,50.0
2022-06-06 18:47:03+02:00,50.0
2022-06-06 18:48:03+02:00,50.0
2022-06-06 18:49:03+02:00,50.0
2022-06-06 18:50:03+02:00,50.0
2022-06-06 18:51:04+02:00,50.0
2022-06-06 18:52:04+02:00,50.0
2022-06-06 18:53:04+02:00,50.0
2022-06-06 18:54:04+02:00,50.0
2022-06-06 18:55:04+02:00,50.0
2022-06-06 18:56:04+02:00,50.0
2022-06-08 00:49:30+02:00,50.0
2022-06-08 00:50:30+02:00,82.1
2022-06-08 00:51:30+02:00,81.3
2022-06-08 00:52:30+02:00,50.0
2022-06-08 00:53:30+02:00,50.0
2022-06-08 00:54:30+02:00,77.4
2022-06-08 00:55:30+02:00,81.0
2022-06-08 00:56:30+02:00,85.6
2022-06-08 00:57:30+02:00,89.4
2022-06-08 00:58:30+02:00,92.2
2022-06-08 00:59:30+02:00,94.2
2022-06-08 01:00:30+02:00,95.5
2022-06-08 01:01:31+02:00,96.3
2022-06-08 01:02:31+02:00,96.8
2022-06-08 01:03:31+02:00,97.1
2022-06-08 01:04:31+02:00,97.4
2022-06-08 01:05:31+02:00,97.4
2022-06-08 01:06:31+02:00,97.4
2022-06-08 01:07:31+02:00,97.5
2022-06-08 01:08:32+02:00,97.6
2022-06-08 01:09:32+02:00,97.7
2022-06-08 01:10:32+02:00,97.7
2022-06-08 01:11:32+02:00,97.7
2022-06-08 01:12:32+02:00,97.8
2022-06-08 01:13:32+02:00,97.8
2022-06-08 01:14:33+02:00,97.8
2022-06-08 01:15:33+02:00,97.7
2022-06-08 01:16:33+02:00,97.7
2022-06-08 01:17:33+02:00,97.7
2022-06-08 01:18:33+02:00,97.6
2022-06-08 01:19:33+02:00,97.4
2022-06-08 01:20:34+02:00,97.4
2022-06-08 01:21:34+02:00,97.2
2022-06-08 01:22:34+02:00,96.9
2022-06-08 01:23:34+02:00,96.5
2022-06-08 01:24:34+02:00,96.1
2022-06-08 01:25:34+02:00,95.8
2022-06-08 01:26:35+02:00,95.6
2022-06-08 01:27:35+02:00,95.3
2022-06-08 01:28:35+02:00,95.2
2022-06-08 01:29:35+02:00,95.2
2022-06-08 01:30:35+02:00,94.9
2022-06-08 01:31:35+02:00,94.6
2022-06-08 01:32:35+02:00,94.4
2022-06-08 01:33:36+02:00,94.3
2022-06-08 01:34:36+02:00,94.1
2022-06-08 01:35:36+02:00,93.9
2022-06-08 01:36:36+02:00,93.9
2022-06-08 01:37:36+02:00,93.8
2022-06-08 01:38:36+02:00,93.7
2022-06-08 01:39:37+02:00,93.4
2022-06-08 01:40:37+02:00,50.0
2022-06-08 01:41:37+02:00,93.2
2022-06-08 01:42:37+02:00,93.3
2022-06-08 01:43:37+02:00,93.1
2022-06-08 01:44:37+02:00,92.7
2022-06-08 01:45:37+02:00,92.4
2022-06-08 01:46:38+02:00,92.0
2022-06-08 01:47:38+02:00,91.8
2022-06-08 01:48:38+02:00,91.8
2022-06-08 01:49:38+02:00,91.8
2022-06-08 01:50:38+02:00,91.5
2022-06-08 01:51:38+02:00,91.4
2022-06-08 01:52:38+02:00,92.0
2022-06-08 01:53:39+02:00,91.7
2022-06-08 01:54:39+02:00,89.0
2022-06-08 01:55:39+02:00,88.2
2022-06-08 01:56:39+02:00,88.2
2022-06-08 01:57:39+02:00,89.5
2022-06-08 01:58:39+02:00,86.6
2022-06-08 01:59:40+02:00,88.8
2022-06-08 02:00:40+02:00,85.4
2022-06-08 02:00:40+02:00,85.4
2022-06-08 02:01:40+02:00,82.5
2022-06-08 02:02:40+02:00,81.1
2022-06-08 02:03:40+02:00,79.9
2022-06-08 02:04:40+02:00,80.8
2022-06-08 02:05:40+02:00,78.4
2022-06-08 02:06:41+02:00,78.7
2022-06-08 02:07:41+02:00,78.0
2022-06-08 02:08:41+02:00,79.1
2022-06-08 02:09:41+02:00,79.8
2022-06-08 02:10:41+02:00,80.3
2022-06-08 02:11:41+02:00,82.4
2022-06-08 02:12:41+02:00,82.9
2022-06-08 02:13:42+02:00,82.0
2022-06-08 02:14:42+02:00,79.7
2022-06-08 02:15:42+02:00,78.1
2022-06-08 02:16:42+02:00,77.6
2022-06-08 02:17:42+02:00,77.0
2022-06-08 02:18:42+02:00,76.3
2022-06-08 02:19:42+02:00,75.5
2022-06-08 02:20:43+02:00,76.4
2022-06-08 02:21:43+02:00,75.9
2022-06-08 02:22:43+02:00,77.1
2022-06-08 02:23:43+02:00,77.3
2022-06-08 02:24:43+02:00,77.0
2022-06-08 02:25:43+02:00,77.1
2022-06-08 02:26:44+02:00,79.4
2022-06-08 02:27:44+02:00,82.1
2022-06-08 02:28:44+02:00,81.2
2022-06-08 02:29:44+02:00,81.1
2022-06-08 02:30:44+02:00,82.5
2022-06-08 02:31:44+02:00,86.8
2022-06-08 02:32:44+02:00,89.5
2022-06-08 02:33:44+02:00,90.9
2022-06-08 02:34:45+02:00,50.0
2022-06-08 02:35:45+02:00,90.5
2022-06-08 02:36:45+02:00,89.9
2022-06-08 02:37:45+02:00,50.0
2022-06-08 02:38:45+02:00,88.5
2022-06-08 02:39:45+02:00,89.4
2022-06-08 02:40:46+02:00,90.3
2022-06-08 02:41:46+02:00,91.0
2022-06-08 02:42:46+02:00,91.8
2022-06-08 02:43:46+02:00,93.2
2022-06-08 02:44:46+02:00,95.2
2022-06-08 02:45:46+02:00,97.6
2022-06-08 02:46:46+02:00,98.8
2022-06-08 02:47:47+02:00,99.0
2022-06-08 02:48:47+02:00,99.3
2022-06-08 02:49:47+02:00,99.4
2022-06-08 02:50:47+02:00,99.5
2022-06-08 02:51:47+02:00,99.4
2022-06-08 02:52:47+02:00,99.4
2022-06-08 02:53:47+02:00,99.3
2022-06-08 02:54:48+02:00,99.2
2022-06-08 02:55:48+02:00,98.8
2022-06-08 02:56:48+02:00,98.7
2022-06-08 02:57:48+02:00,98.4
2022-06-08 02:58:48+02:00,98.6
2022-06-08 02:59:48+02:00,98.4
2022-06-08 03:00:49+02:00,98.1
2022-06-08 03:01:49+02:00,97.8
2022-06-08 03:02:49+02:00,97.8
2022-06-08 03:03:49+02:00,97.8
2022-06-08 03:04:49+02:00,98.0
2022-06-08 03:05:49+02:00,97.6
2022-06-08 03:06:49+02:00,97.6
2022-06-08 03:07:50+02:00,97.8
2022-06-08 03:08:50+02:00,97.6
2022-06-08 03:09:50+02:00,97.4
2022-06-08 03:10:50+02:00,97.2
2022-06-08 03:11:50+02:00,97.2
2022-06-08 03:12:51+02:00,97.4
2022-06-08 03:13:51+02:00,97.3
2022-06-08 03:14:51+02:00,97.1
2022-06-08 03:15:51+02:00,96.9
2022-06-08 03:16:51+02:00,97.0
2022-06-08 03:17:52+02:00,97.2
2022-06-08 03:18:52+02:00,97.0
2022-06-08 03:19:52+02:00,97.0
2022-06-08 03:20:52+02:00,96.8
2022-06-08 03:21:52+02:00,96.9
2022-06-08 03:22:52+02:00,97.5
2022-06-08 03:23:52+02:00,97.8
2022-06-08 03:24:53+02:00,97.6
2022-06-08 03:25:53+02:00,97.9
2022-06-08 03:26:53+02:00,97.8
2022-06-08 03:27:53+02:00,97.5
2022-06-08 03:28:53+02:00,97.5
2022-06-08 03:29:53+02:00,97.4
2022-06-08 03:30:54+02:00,97.5
2022-06-08 03:31:54+02:00,97.4
2022-06-08 03:32:54+02:00,97.9
2022-06-08 03:33:54+02:00,97.8
2022-06-08 03:34:54+02:00,97.4
2022-06-08 03:35:54+02:00,97.2
2022-06-08 03:36:54+02:00,97.3
2022-06-08 03:37:55+02:00,97.2
2022-06-08 03:38:55+02:00,97.0
2022-06-08 03:39:55+02:00,96.6
2022-06-08 03:40:55+02:00,93.6
2022-06-08 03:41:55+02:00,91.0
2022-06-08 03:42:55+02:00,89.2
2022-06-08 03:43:55+02:00,50.0
2022-06-08 03:44:56+02:00,86.9
2022-06-08 03:45:56+02:00,84.6
2022-06-08 03:46:56+02:00,85.2
2022-06-08 03:47:56+02:00,85.5
2022-06-08 03:48:56+02:00,84.7
2022-06-08 03:49:56+02:00,83.1
2022-06-08 03:50:56+02:00,84.4
2022-06-08 03:51:57+02:00,85.6
2022-06-08 03:52:57+02:00,86.0
2022-06-08 03:53:57+02:00,84.9
2022-06-08 03:54:57+02:00,84.5
2022-06-08 03:55:57+02:00,85.4
2022-06-08 03:56:57+02:00,89.3
2022-06-08 03:57:58+02:00,89.6
2022-06-08 03:58:58+02:00,87.9
2022-06-08 03:59:58+02:00,87.3
2022-06-08 04:00:58+02:00,90.1
2022-06-08 04:01:58+02:00,87.6
2022-06-08 04:02:58+02:00,88.2
2022-06-08 04:03:58+02:00,88.4
2022-06-08 04:04:59+02:00,88.2
2022-06-08 04:05:59+02:00,50.0
2022-06-08 04:06:59+02:00,50.0
2022-06-08 04:07:59+02:00,86.1
2022-06-08 04:08:59+02:00,85.5
2022-06-08 04:09:59+02:00,86.4
2022-06-08 04:11:00+02:00,85.9
2022-06-08 04:12:00+02:00,86.1
2022-06-08 04:13:00+02:00,85.4
2022-06-08 04:14:00+02:00,85.4
2022-06-08 04:15:01+02:00,85.0
2022-06-08 04:16:01+02:00,84.8
2022-06-08 04:17:01+02:00,86.5
2022-06-08 04:18:01+02:00,87.1
2022-06-08 04:19:01+02:00,87.9
2022-06-08 04:20:01+02:00,88.2
2022-06-08 04:21:01+02:00,88.4
2022-06-08 04:22:02+02:00,88.0
2022-06-08 04:23:02+02:00,87.9
2022-06-08 04:24:02+02:00,87.5
2022-06-08 04:25:02+02:00,87.4
2022-06-08 04:26:02+02:00,87.0
2022-06-08 04:27:02+02:00,86.7
2022-06-08 04:28:02+02:00,86.3
2022-06-08 04:29:02+02:00,87.4
2022-06-08 04:30:03+02:00,87.1
2022-06-08 04:31:03+02:00,86.7
2022-06-08 04:32:03+02:00,86.4
2022-06-08 04:33:03+02:00,86.3
2022-06-08 04:34:03+02:00,86.2
2022-06-08 04:35:03+02:00,86.5
2022-06-08 04:36:03+02:00,86.4
2022-06-08 04:37:03+02:00,85.9
2022-06-08 04:38:04+02:00,86.5
2022-06-08 04:39:04+02:00,86.3
2022-06-08 04:40:04+02:00,86.5
2022-06-08 04:41:04+02:00,86.1
2022-06-08 04:42:04+02:00,86.3
2022-06-08 04:43:04+02:00,85.9
2022-06-08 04:44:04+02:00,86.0
2022-06-08 04:45:04+02:00,86.3
2022-06-08 04:46:04+02:00,87.3
2022-06-08 04:47:04+02:00,87.5
2022-06-08 04:48:04+02:00,87.5
2022-06-08 04:49:04+02:00,87.6
2022-06-08 04:50:05+02:00,50.0
2022-06-08 04:51:05+02:00,88.3
2022-06-08 04:52:05+02:00,89.6
2022-06-08 04:53:05+02:00,90.4
2022-06-08 04:54:05+02:00,90.4
2022-06-08 04:55:05+02:00,90.3
2022-06-08 04:56:05+02:00,90.6
2022-06-08 04:57:05+02:00,90.2
2022-06-08 04:58:06+02:00,91.8
2022-06-08 04:59:06+02:00,91.5
2022-06-08 05:00:06+02:00,92.3
2022-06-08 05:01:06+02:00,92.2
2022-06-08 05:02:06+02:00,92.7
2022-06-08 05:03:06+02:00,50.0
2022-06-08 05:04:06+02:00,92.1
2022-06-08 05:05:07+02:00,92.0
2022-06-08 05:06:07+02:00,92.2
2022-06-08 05:07:07+02:00,92.3
2022-06-08 05:08:07+02:00,92.4
2022-06-08 05:09:07+02:00,91.9
2022-06-08 05:10:07+02:00,92.3
2022-06-08 05:11:07+02:00,93.2
2022-06-08 05:12:07+02:00,93.2
2022-06-08 05:13:07+02:00,94.1
2022-06-08 05:14:08+02:00,92.7
2022-06-08 05:15:08+02:00,92.7
2022-06-08 05:16:08+02:00,91.2
2022-06-08 05:17:08+02:00,92.2
2022-06-08 05:18:08+02:00,89.9
2022-06-08 05:19:08+02:00,89.2
2022-06-08 05:20:08+02:00,89.9
2022-06-08 05:21:09+02:00,91.3
2022-06-08 05:22:09+02:00,50.0
2022-06-08 05:23:09+02:00,91.4
2022-06-08 05:24:09+02:00,90.4
2022-06-08 05:25:09+02:00,89.6
2022-06-08 05:26:09+02:00,88.1
2022-06-08 05:27:09+02:00,88.5
2022-06-08 05:28:10+02:00,88.5
2022-06-08 05:29:10+02:00,87.6
2022-06-08 05:30:10+02:00,87.4
2022-06-08 05:31:10+02:00,85.7
2022-06-08 05:32:10+02:00,86.7
2022-06-08 05:33:10+02:00,86.7
2022-06-08 05:34:11+02:00,87.4
2022-06-08 05:35:11+02:00,88.6
2022-06-08 05:36:11+02:00,86.8
2022-06-08 05:37:11+02:00,88.1
2022-06-08 05:38:11+02:00,87.6
2022-06-08 05:39:11+02:00,88.4
2022-06-08 05:40:11+02:00,89.1
2022-06-08 05:41:12+02:00,89.1
2022-06-08 05:42:12+02:00,88.6
2022-06-08 05:43:12+02:00,88.7
2022-06-08 05:44:12+02:00,88.6
2022-06-08 05:45:12+02:00,88.1
2022-06-08 05:46:12+02:00,88.2
2022-06-08 05:47:12+02:00,88.5
2022-06-08 05:48:13+02:00,87.8
2022-06-08 05:49:13+02:00,88.4
2022-06-08 05:50:13+02:00,50.0
2022-06-08 05:51:13+02:00,88.4
2022-06-08 05:52:13+02:00,84.1
2022-06-08 05:53:13+02:00,79.9
2022-06-08 05:54:14+02:00,50.0
